,CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PD_DESC,PREM_TYP_DESC,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
27170,342625544,20,MANHATTAN,07/22/2021,17:00:00,FELONY,,GRAND LARCENY,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",TRANSIT - NYC SUBWAY,UNKNOWN,UNKNOWN,U,45-64,WHITE,F,989792,224853,40.78385224500005,-73.97998931899998
97089,502213823,122,STATEN ISLAND,07/14/2021,18:15:00,MISDEMEANOR,OPPOSITE OF,PETIT LARCENY,"LARCENY,PETIT FROM AUTO",STREET,25-44,WHITE,F,UNKNOWN,UNKNOWN,M,940681,136218,40.54046361800005,-74.15675594799995
237852,765414715,66,BROOKLYN,03/12/2021,15:54:00,VIOLATION,FRONT OF,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",STREET,45-64,ASIAN / PACIFIC ISLANDER,M,18-24,WHITE,M,991182,171835,40.638329468000045,-73.97502461599998
229621,154192523,45,BRONX,03/15/2021,11:30:00,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,18-24,WHITE,M,45-64,WHITE,F,1035148,247335,40.84541411000004,-73.81603882999997
295510,547300551,47,BRONX,01/27/2021,18:53:00,FELONY,,DANGEROUS DRUGS,"MARIJUANA, POSSESSION 1, 2 & 3",STREET,25-44,BLACK,M,UNKNOWN,UNKNOWN,E,1022990,266020,40.89676036700007,-73.85987384699997
66819,183421727,50,BRONX,08/10/2021,20:00:00,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,,,,18-24,ASIAN / PACIFIC ISLANDER,M,1010464,257669,40.87388560100004,-73.90521465599994
231972,446574446,34,MANHATTAN,03/28/2021,01:40:00,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE - APT. HOUSE,UNKNOWN,WHITE HISPANIC,M,45-64,UNKNOWN,F,1003147,248822,40.84962195400004,-73.93169701399995
110484,571618760,52,BRONX,07/13/2021,18:22:00,VIOLATION,INSIDE,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE-HOUSE,25-44,WHITE HISPANIC,M,65+,WHITE HISPANIC,F,1016850,255804,40.868745475000026,-73.88213271499995
17188,565985782,61,BROOKLYN,09/17/2021,16:50:00,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED",GROCERY/BODEGA,<18,BLACK,M,18-24,WHITE,M,997589,153587,40.588235141000034,-73.95197547699998
210535,801131232,10,MANHATTAN,04/21/2021,02:30:00,FELONY,,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF,CRIMINAL,    UNCL 2ND",TRANSIT - NYC SUBWAY,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,D,985457,210372,40.744107281000026,-73.99564557899998
108884,340268618,122,STATEN ISLAND,07/04/2021,00:50:00,FELONY,,ROBBERY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,25-44,BLACK,F,45-64,BLACK,F,959481,160771,40.60792918800007,-74.08920648799993
241729,706736695,7,MANHATTAN,03/13/2021,09:20:00,MISDEMEANOR,INSIDE,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",DRUG STORE,,,,UNKNOWN,UNKNOWN,D,989038,199686,40.71477560500005,-73.98272992299998
48498,108366711,106,QUEENS,08/22/2021,18:55:00,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,25-44,ASIAN / PACIFIC ISLANDER,M,25-44,ASIAN / PACIFIC ISLANDER,F,1032742,184255,40.67228956600008,-73.82518988299995
62959,700884576,100,QUEENS,08/10/2021,16:50:00,FELONY,FRONT OF,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED",CHAIN STORE,,,,45-64,WHITE HISPANIC,F,1029631,150256,40.57898609200005,-73.83663345199994
256439,762035783,105,QUEENS,03/10/2021,15:00:00,VIOLATION,FRONT OF,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",STREET,UNKNOWN,WHITE HISPANIC,M,25-44,BLACK,F,1051894,179657,40.659543504000055,-73.75619419199995
108330,456623161,60,BROOKLYN,07/06/2021,00:05:00,FELONY,,MISCELLANEOUS PENAL LAW,RECKLESS ENDANGERMENT 1,STREET,UNKNOWN,UNKNOWN,U,25-44,BLACK,M,984838,149692,40.57755415100007,-73.99788473099994
180942,709733246,40,BRONX,05/05/2021,18:09:00,MISDEMEANOR,,POSSESSION OF STOLEN PROPERTY,"STOLEN PROPERTY 3,POSSESSION",STREET,45-64,BLACK,M,UNKNOWN,UNKNOWN,E,1006109,234993,40.811658487000045,-73.92103573499998
281762,273180250,9,MANHATTAN,02/14/2021,16:44:00,MISDEMEANOR,INSIDE,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",CHAIN STORE,UNKNOWN,BLACK,M,UNKNOWN,UNKNOWN,D,990011,205195,40.72989590100008,-73.97921535199998
120442,937285517,67,BROOKLYN,07/04/2021,22:18:00,VIOLATION,INSIDE,HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,45-64,BLACK,M,45-64,BLACK,F,1006528,180139,40.66109683900004,-73.91970373499998
90506,802878815,71,BROOKLYN,07/20/2021,23:30:00,FELONY,REAR OF,BURGLARY,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE-HOUSE,,,,45-64,BLACK,M,1002091,181404,40.66457903600008,-73.93569288199996
293426,665073134,112,QUEENS,01/26/2021,19:00:00,MISDEMEANOR,FRONT OF,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,DEPARTMENT STORE,25-44,WHITE HISPANIC,M,25-44,WHITE HISPANIC,F,1026819,201907,40.72077059800005,-73.84643043599993
120888,241858972,52,BRONX,07/05/2021,14:02:00,MISDEMEANOR,OPPOSITE OF,CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",STREET,UNKNOWN,UNKNOWN,U,45-64,BLACK,M,1014422,258999,40.87752339700006,-73.89089700899994
272579,267392887,103,QUEENS,02/16/2021,22:50:00,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,1043066,192504,40.69486856000003,-73.78790043999999
103216,676057327,120,STATEN ISLAND,07/07/2021,21:40:00,FELONY,REAR OF,MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,RESIDENCE-HOUSE,45-64,WHITE,M,45-64,WHITE,F,964893,161998,40.61131052600007,-74.06971880699997
110736,369176952,48,BRONX,07/07/2021,04:34:00,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,STREET,UNKNOWN,UNKNOWN,M,18-24,BLACK,F,1014023,252213,40.85889925900005,-73.89236997399996
135765,626718408,32,MANHATTAN,06/12/2021,06:55:00,MISDEMEANOR,,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL",STREET,,,,UNKNOWN,UNKNOWN,E,1000326,239064,40.82284465500004,-73.941917086
